channel,pGeV,N_beam,mask,veto,ovk_pct,ovk_CI95_low,ovk_CI95_high
π⁺p → π⁺π⁺n,0.98,867549,ultra,25131,2.89678,2.89561,2.89799
π⁺p → π⁺π⁺n,1.02,866103,tight,11821,1.36485,1.36403,1.36571
π⁺p → π⁺π⁺n,1.02,866103,fit,15555,1.79598,1.79504,1.79695
π⁺p → π⁺π⁺n,1.02,866103,wide,20387,2.35388,2.35282,2.35497
π⁺p → π⁺π⁺n,1.02,866103,ultra,25401,2.93279,2.93162,2.934
π⁺p → π⁺π⁺n,1.05,867751,tight,12436,1.43313,1.43229,1.43401
π⁺p → π⁺π⁺n,1.05,867751,fit,16026,1.84684,1.8459,1.84783
π⁺p → π⁺π⁺n,1.05,867751,wide,24013,2.76727,2.76612,2.76845
π⁺p → π⁺π⁺n,1.05,867751,ultra,26878,3.09743,3.09623,3.09867
π⁺p → π⁺π⁺n,1.1,867658,tight,12860,1.48215,1.4813,1.48304
π⁺p → π⁺π⁺n,1.1,867658,fit,16707,1.92553,1.92456,1.92653
π⁺p → π⁺π⁺n,1.1,867658,wide,24406,2.81286,2.81171,2.81405
π⁺p → π⁺π⁺n,1.1,867658,ultra,27342,3.15124,3.15003,3.15249
π⁺p → π⁺π⁺n,1.15,866676,tight,13245,1.52825,1.52739,1.52916
π⁺p → π⁺π⁺n,1.15,866676,fit,17241,1.98932,1.98835,1.99034
π⁺p → π⁺π⁺n,1.15,866676,wide,25024,2.88735,2.88619,2.88856
π⁺p → π⁺π⁺n,1.15,866676,ultra,27996,3.23027,3.22904,3.23154
